ASSETS19,ASSORG19,BHC19,BHCFOR19,REAL1419,ORDER,OCC19,SEQINS,CERT19,SID,TAX_ID19,CODE19,LEI,STATER19,NAME19,PLACE19,CODE17,HMPRID,SYD,RSSD19,RSSDP19,RSSDHH19,ORG19,ENTITY19,THC19,CHARTR19,INSURE19,THRIFT19,NCUA19,STATE19,MINBNK19,COUNTY19,TYPE19,NAMEOR19,FOREOR19,NAMES19,FORE19,NAMER19,TAXIDR19,LEIR19,LAR19,CRA19,FHLB19,FHFBID19,PARENT19,OLC19,ASSETL19,PURC19,PURCD19,ORIG19,HIELG19,HIRAT19,ORIGM19,HIELGM19,HIRATM19,ORIGD19,ORIGDM19,APPL19,APPLD19,APPLM19,APPLDM19
3918468,4020031,1208595, ,436128,19,47,19,4382, ,35-0704860,1,549300E0S1LZYZ9QNX81,18,"FIRST FINANCIAL BANK, NATIONAL",TERRE HAUTE,1,0000000047, ,693345,1208595,1208595,1208595,693345,1208595,200,7,0, ,18,0,167,10,FIRST FINANCIAL CORPORATION,FHD,FIRST FNCL BK NA,NAT,FIRST FNCL BK NA,35-0704860,549300E0S1LZYZ9QNX81,2562,0,6,8814,FIRST FINANCIAL CORPORATION,0,2923813,3,113577663,1362,1302,90,61,61,6,153103,8878,2559,272070,154,18397
951799,92652,1117491, ,131975,46,324,46,7658, ,23-0916895,1,549300QQ8FVN501MZL94,42,FIRST NATIONAL BANK AND TRUST,NEWTOWN,1,0000000324, ,1007417,1117491,1117491,1117491,1007417,1117491,200,7,0, ,42,0,17,10,"FNB BANCORP, INC.",BHC,FIRST NB&TC NEWTOWN,NAT,FIRST NB&TC NEWTOWN,23-0916895,0,198,0,3,52351,"FNB BANCORP, INC.",0,934171,0,0,150,135,0,4,4,0,23954,315,198,31760,8,992
8747957,8764649,1071397, ,1176706,62,0,62,11124, ,23-0534545,1,549300F1QUQ5OC00JB42,42,"DNB FIRST, NATIONAL ASSOCIATIO",DOWNINGTOWN,1,0000000661, ,71318,1117455,1117455,1071397,936426,1071397,200,7,0, ,42,0,63,10,"S&T BANCORP, INC.",FHD,S&T BK,NMB,DOWNINGTOWN MAIN BR, , ,171,0,3,10096,DNB FINANCIAL CORPORATION,0,1158368,0,0,99,54,0,4,4,0,52228,694,171,67342,25,6534
339933,78937,1115406, ,231944,64,676,64,2608, ,04-2832782,1,549300LUOV7WW4BLH779,25,THE NATIONAL GRAND BANK OF MAR,MARBLEHEAD,1,0000000676, ,863607,1115406,1115406,1115406,863607,1115406,200,7,0, ,25,0,9,10,GRAND BANK CORPORATION,BHC,NATIONAL GRAND BK OF MARBLEH,NAT,NATIONAL GRAND BK OF MARBLEH,04-2832782,0,118,0,1,12246,GRAND BANK CORPORATION,0,328925,0,0,111,111,0,4,4,0,66280,2430,118,72261,4,2430
1163579,93936,1246476, ,313175,87,1027,87,7151, ,15-0372430,1,254900Q6IHGQO7INVC79,36,THE LYONS NATIONAL BANK,LYONS,1,0000001027, ,323204,1246476,1246476,1246476,323204,1246476,200,7,0, ,36,0,117,10,"LYONS BANCORP, INC.",FHD,LYONS NB,NAT,LYONS NB,15-0372430,0,1503,0,2,13866,"LYONS BANCORP, INC.",0,1081698,0,0,1227,1191,23,48,48,1,176265,7228,1503,208219,65,9006
584882,53669,1048728, ,200725,98,1253,98,6959, ,14-0486153,1,549300QY4UCP33T94N09,36,BALLSTON SPA NATIONAL BANK,BALLSTON SPA,1,0000001253, ,505,1048728,1048728,1048728,505,1048728,200,7,0, ,36,0,91,10,"BALLSTON SPA BANCORP, INC.",FHD,BALLSTON SPA NB,NAT,BALLSTON SPA NB,14-0486153,0,466,0,2,13519,"BALLSTON SPA BANCORP, INC.",0,531968,0,0,339,328,0,26,26,0,73634,5252,466,95231,37,8086
9642935,9715925,1139279, ,1634143,110,1354,110,7230, ,15-0395735,1,5493009BOQDC6PCFR785,36,"NBT BANK, NATIONAL ASSOCIATION",NORWICH,1,0000001354, ,702117,1139279,1139279,1139279,702117,1139279,200,7,10286, ,36,0,17,10,NBT BANCORP INC.,FHD,NBT BK NA,NAT,NBT BK NA,15-0395735,0,5135,0,2,10286,NBT BANCORP INC.,0,9492332,259,93304004,2908,2740,86,137,137,6,558411,25358,4876,752896,261,37924
325368,29091,5333404, ,105651,112,1398,112,7018, ,14-0912110,1,549300KOLMR4MSUXQS86,36,THE NATIONAL BANK OF COXSACKIE,COXSACKIE,1,0000001398, ,234506,5333404,5333404,5333404,234506, ,200,7,0, ,36,0,39,10,"NBC BANCORP, INC.",BHC,NATIONAL BK OF COXSACKIE,NAT,NATIONAL BK OF COXSACKIE,14-0912110,0,347,0,2,54805, ,0,294597,0,0,220,184,0,12,12,0,37959,2423,347,60285,25,6586
1353866,307846,1491360, ,169929,151,1950,151,3864, ,71-0058845,1,549300BREPLU2KKPI102,5,THE FIRST NATIONAL BANK OF FOR,FORT SMITH,1,0000001950, ,397540,1491360,1491360,1491360,397540,1491360,200,7,0, ,5,0,131,10,FIRST BANK CORP,FHD,FIRST NB OF FORT SMITH,NAT,FIRST NB OF FORT SMITH,71-0058845,549300BREPLU2KKPI102,700,0,9,10598,FIRST BANK CORP,0,1352936,0,0,535,426,54,77,77,14,142691,13439,700,170683,116,19438
1636413,228065,2759900, ,293106,174,2360,174,6623, ,31-0352330,1,549300Q55VW95EP3CM33,39,LCNB NATIONAL BANK,LEBANON,1,0000002360, ,785923,2759900,2759900,2759900,785923,2759900,200,7,0, ,39,0,165,10,LCNB CORP.,FHD,LCNB NB,NAT,LCNB NB,31-0352330,549300Q55VW95EP3CM33,499,0,5,17159,LCNB CORP.,0,1634260,0,0,400,346,1,7,7,0,112752,783,499,141845,9,895
